Trace,Exp,CPU 0 cumulative IPC,CPU 1 cumulative IPC,CPU 2 cumulative IPC,CPU 3 cumulative IPC,CPU 4 cumulative IPC,CPU 5 cumulative IPC,CPU 6 cumulative IPC,CPU 7 cumulative IPC,CPU 8 cumulative IPC,CPU 9 cumulative IPC,CPU 10 cumulative IPC,CPU 11 cumulative IPC,LLC_AVG_MISS_LAT_CYCLES,CXL_READS_QDELAY_NS,CXL_WRITES_QDELAY_NS,CXL_RDBUS_UTILIZATION,CXL_WRBUS_UTILIZATION,CXL_RDBUS_CONGESTED,CXL_WRBUS_CONGESTED,MISS,LLC_MPKI,Filter
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_12T,base,0.328078,0.328037,0.328062,0.328089,0.32823,0.328052,0.328087,0.328073,0.328103,0.328127,0.328113,0.328213,517.102,0,0,0,0,0,0,6847451.75,34.23725875,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.63744,1.63713,1.63714,1.6372,1.63721,1.63722,1.63726,1.63727,1.6373,1.63735,1.63736,1.63737,181.863,0,0,0,0,0,0,834441.291666667,4.17220645833333,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_12T,base,1.49872,1.49875,1.49876,1.49878,1.49879,1.49883,1.49885,1.49887,1.49889,1.49892,1.49892,1.49893,133.027,0,0,0,0,0,0,721740.875,3.608704375,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_12T,base,1.52615,1.52617,1.52617,1.5262,1.52623,1.52625,1.52632,1.52634,1.52635,1.52635,1.52636,1.52637,131.979,0,0,0,0,0,0,706879.708333333,3.53439854166667,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_4000M.length_250M_12T,base,1.58708,1.58708,1.58713,1.58715,1.58716,1.58721,1.58722,1.58722,1.58729,1.58729,1.5873,1.58735,203.831,0,0,0,0,0,0,835057.291666667,4.17528645833333,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_7500M.length_250M_12T,base,0.860232,0.860023,0.86004,0.860062,0.860077,0.860097,0.860105,0.860134,0.860147,0.860165,0.860178,0.860206,328.037,0,0,0,0,0,0,1865692.20833333,9.32846104166667,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_23000M.length_250M_12T,base,0.844385,0.839977,0.842016,0.842814,0.84371,0.841922,0.840581,0.842821,0.841586,0.841235,0.844661,0.842667,251.983,0,0,0,0,0,0,3000696.5,15.0034825,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_12T,base,1.63266,1.63235,1.63241,1.63243,1.63244,1.63251,1.63251,1.63252,1.63256,1.63257,1.6326,1.63266,181.178,0,0,0,0,0,0,838208.458333333,4.19104229166667,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_12T,base,0.46332,0.463472,0.463161,0.463638,0.46349,0.463501,0.463222,0.463871,0.463735,0.463787,0.463486,0.463418,398.268,0,0,0,0,0,0,5346453.5,26.7322675,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.63931,1.63934,1.63936,1.63937,1.63945,1.63945,1.63946,1.63951,1.63951,1.63952,1.63959,1.63959,181.476,0,0,0,0,0,0,834556.583333333,4.17278291666667,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_12T,base,0.99332,0.993362,0.993366,0.993414,0.99346,0.993519,0.993556,0.993576,0.993612,0.99363,0.993686,0.99381,243.429,0,0,0,0,0,0,1492079.16666667,7.46039583333333,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_12T,base,1.49477,1.4948,1.49481,1.49484,1.49485,1.49486,1.49488,1.49488,1.4949,1.49492,1.49494,1.49495,133.113,0,0,0,0,0,0,723873.791666667,3.61936895833333,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_12T,base,0.481886,0.481297,0.481402,0.480842,0.481675,0.481255,0.481835,0.481348,0.480941,0.481218,0.480801,0.481334,339.452,0,0,0,0,0,0,4718872.83333333,23.5943641666667,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.6389,1.63895,1.63896,1.63902,1.63901,1.63902,1.63908,1.6391,1.6391,1.63915,1.63916,1.63919,181.429,0,0,0,0,0,0,834713.75,4.17356875,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_12T,base,0.993534,0.993097,0.993113,0.993158,0.993167,0.993177,0.993189,0.993204,0.993258,0.993275,0.993324,0.993529,243.581,0,0,0,0,0,0,1491008.25,7.45504125,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_12T,base,1.499,1.49879,1.49882,1.49882,1.49884,1.49887,1.49889,1.49893,1.49895,1.49896,1.49897,1.49899,132.995,0,0,0,0,0,0,721671.25,3.60835625,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M_12T,base,0.814455,0.814467,0.814536,0.814712,0.81462,0.815263,0.814779,0.815754,0.816425,0.814795,0.817255,0.819421,270.617,0,0,0,0,0,0,2520871.45833333,12.6043572916667,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_12T,base,1.66425,1.66431,1.66431,1.66433,1.66437,1.66438,1.66438,1.66444,1.66446,1.66447,1.66451,1.66452,163.539,0,0,0,0,0,0,699470.875,3.497354375,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M_12T,base,0.362123,0.361181,0.361402,0.362086,0.361213,0.361615,0.361352,0.362211,0.361764,0.36152,0.361189,0.361232,379.627,0,0,0,0,0,0,9619248.29166667,48.0962414583333,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.6382,1.63822,1.63825,1.63827,1.63827,1.6383,1.63834,1.63835,1.63838,1.63845,1.63845,1.6385,181.574,0,0,0,0,0,0,834528.791666667,4.17264395833333,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_12T,base,1.49484,1.49463,1.49464,1.49466,1.49468,1.4947,1.49473,1.49474,1.49475,1.49477,1.49477,1.4948,133.159,0,0,0,0,0,0,723922,3.61961,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_12T,base,0.338552,0.338646,0.338654,0.339155,0.338345,0.339252,0.338337,0.339875,0.338263,0.338573,0.339566,0.338959,389.773,0,0,0,0,0,0,9743570.45833333,48.7178522916667,0
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_12T,base,1.49509,1.49511,1.49513,1.49515,1.49518,1.4952,1.49521,1.49523,1.49525,1.49526,1.49527,1.49529,133.094,0,0,0,0,0,0,723874.208333333,3.61937104166667,0
ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M_12T,base,1.37371,1.35976,1.36705,1.37379,1.37207,1.37461,1.37563,1.37565,1.37649,1.37658,1.3763,1.37663,146.634,0,0,0,0,0,0,1552506.375,7.762531875,0
ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.63952,1.63957,1.63958,1.63961,1.63963,1.63965,1.63969,1.63972,1.63975,1.63976,1.63982,1.63984,181.302,0,0,0,0,0,0,834639.208333333,4.17319604166667,0
ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_12T,base,1.4951,1.49489,1.4949,1.49492,1.49495,1.49498,1.49497,1.49499,1.49501,1.49502,1.49506,1.49507,133.13,0,0,0,0,0,0,723907.666666667,3.61953833333333,0
ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_21750M.length_250M_12T,base,0.277662,0.277985,0.276853,0.276862,0.277232,0.277108,0.277016,0.277914,0.277726,0.276989,0.276846,0.276925,456.619,0,0,0,0,0,0,12026934.4166667,60.1346720833333,0
ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_12T,base,1.49899,1.49877,1.49879,1.49884,1.49886,1.49892,1.49893,1.49894,1.49895,1.49897,1.49897,1.49898,133.004,0,0,0,0,0,0,721683.625,3.608418125,0
ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M_12T,base,0.562478,0.563806,0.560912,0.561211,0.560062,0.561905,0.56047,0.560727,0.560956,0.561424,0.560529,0.561249,345.201,0,0,0,0,0,0,5181223.70833333,25.9061185416667,0
ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_60750M.length_250M_12T,base,0.370133,0.370672,0.370719,0.369759,0.370488,0.37008,0.370496,0.370064,0.370261,0.370328,0.37035,0.370575,493.942,0,0,0,0,0,0,5021302.33333333,25.1065116666667,0
ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_79500M.length_250M_12T,base,0.287938,0.28803,0.288683,0.287913,0.288176,0.288568,0.289356,0.290159,0.289581,0.288667,0.28829,0.287953,455.707,0,0,0,0,0,0,10255327.0833333,51.2766354166667,0
ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_1250M.length_250M_12T,base,1.48849,1.4885,1.48851,1.48852,1.48854,1.48855,1.48858,1.48861,1.48863,1.48865,1.48866,1.48868,133.327,0,0,0,0,0,0,727414.25,3.63707125,0
ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M_12T,base,0.302088,0.300773,0.30112,0.300893,0.300805,0.300724,0.300789,0.301377,0.301668,0.301825,0.301158,0.301267,671.407,0,0,0,0,0,0,5824724.16666667,29.1236208333333,0
ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M_12T,base,0.309822,0.309096,0.309279,0.30966,0.309047,0.309229,0.309289,0.309199,0.309479,0.309484,0.30962,0.30942,430.426,0,0,0,0,0,0,5034515.875,25.172579375,0
ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.639,1.63902,1.63907,1.63908,1.63911,1.63914,1.63918,1.63919,1.63924,1.63925,1.63925,1.63931,181.46,0,0,0,0,0,0,834698.083333333,4.17349041666667,0
ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_32000M.length_250M_12T,base,0.406677,0.406902,0.406567,0.407466,0.406897,0.406975,0.406735,0.406974,0.406841,0.406824,0.406698,0.406633,314.959,0,0,0,0,0,0,6602097.25,33.01048625,0
ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.63861,1.63861,1.63867,1.63869,1.63869,1.63876,1.63875,1.63876,1.63883,1.63884,1.63885,1.6389,181.42,0,0,0,0,0,0,834815.041666667,4.17407520833333,0
ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M_12T,base,0.653263,0.651648,0.652081,0.653334,0.651068,0.652127,0.651628,0.651408,0.651528,0.652433,0.652341,0.652778,202.924,0,0,0,0,0,0,4260904.79166667,21.3045239583333,0
ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.63919,1.63885,1.63888,1.63891,1.63893,1.63895,1.639,1.63901,1.63905,1.6391,1.63911,1.63912,181.42,0,0,0,0,0,0,834757.25,4.17378625,0
ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_12T,base,1.49389,1.49369,1.49373,1.49374,1.49376,1.49378,1.49379,1.4938,1.49382,1.49384,1.49385,1.49386,133.24,0,0,0,0,0,0,723923.541666667,3.61961770833333,0
parsec_2.1.canneal.simlarge.prebuilt.drop_1250M.length_250M_12T,base,0.662247,0.662125,0.662259,0.663448,0.65825,0.65831,0.658199,0.657834,0.658114,0.658422,0.658463,0.659476,170.82,0,0,0,0,0,0,1760913,8.804565,0
parsec_2.1.facesim.simlarge.prebuilt.drop_1500M.length_250M_12T,base,0.74283,0.741436,0.741398,0.741323,0.742844,0.741146,0.744484,0.741486,0.74167,0.741381,0.741274,0.741544,426.889,0,0,0,0,0,0,1577731.125,7.888655625,0
parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M_12T,base,0.79827,0.779767,0.781279,0.777253,0.777797,0.777711,0.777292,0.777231,0.777854,0.777105,0.777451,0.777102,462.961,0,0,0,0,0,0,1520184.29166667,7.60092145833333,0
parsec_2.1.streamcluster.simlarge.prebuilt.drop_14750M.length_250M_12T,base,0.992408,0.989161,0.989932,0.989721,0.992417,0.988975,0.990304,0.989318,0.991012,0.990581,0.990798,0.991409,178.583,0,0,0,0,0,0,2934198.75,14.67099375,0
parsec_2.1.raytrace.simlarge.prebuilt.drop_23750M.length_250M_12T,base,1.17247,1.17086,1.17105,1.17107,1.17243,1.17144,1.16995,1.17174,1.17239,1.17215,1.17232,1.17239,169.956,0,0,0,0,0,0,1077469.5,5.3873475,0
602.gcc_s-1850B_12T,base,0.31723,0.316292,0.316488,0.316504,0.316664,0.316662,0.316831,0.31683,0.316864,0.31691,0.316909,0.317009,119.005,0,0,0,0,0,0,3874048.66666667,19.3702433333333,0
603.bwaves_s-2931B_12T,base,0.338067,0.338208,0.337935,0.338318,0.337943,0.338096,0.338084,0.33807,0.338084,0.337957,0.338079,0.338062,1029.77,0,0,0,0,0,0,3174805.04166667,15.8740252083333,0
605.mcf_s-994B_12T,base,0.804821,0.772906,0.804666,0.784725,0.804448,0.77301,0.772985,0.808842,0.808892,0.784691,0.808898,0.781568,359.378,0,0,0,0,0,0,3403138.83333333,17.0156941666667,0
607.cactuBSSN_s-2421B_12T,base,0.680938,0.681951,0.67498,0.679786,0.679154,0.678711,0.671125,0.677143,0.684732,0.689087,0.679176,0.677812,688.658,0,0,0,0,0,0,1587033.75,7.93516875,0
619.lbm_s-2677B_12T,base,0.139965,0.139875,0.13969,0.139645,0.139397,0.139359,0.139348,0.139385,0.139528,0.139393,0.13941,0.139362,1161.83,0,0,0,0,0,0,12856626.7916667,64.2831339583333,0
620.omnetpp_s-141B_12T,base,0.515185,0.512777,0.512441,0.513329,0.512866,0.512061,0.511785,0.511745,0.51194,0.512308,0.512256,0.511952,249.706,0,0,0,0,0,0,2460748.125,12.303740625,0
621.wrf_s-6673B_12T,base,0.609954,0.60964,0.610005,0.609773,0.609613,0.609631,0.609705,0.609834,0.609776,0.609528,0.61002,0.609688,592.847,0,0,0,0,0,0,2779688.875,13.898444375,0
623.xalancbmk_s-10B_12T,base,0.553543,0.548532,0.55172,0.553835,0.547679,0.553171,0.54837,0.547804,0.548574,0.547776,0.551506,0.550443,162.301,0,0,0,0,0,0,4463842.45833333,22.3192122916667,0
627.cam4_s-573B_12T,base,0.998454,0.875215,0.859322,0.867459,0.853811,0.875569,0.853861,0.854086,0.872428,0.853925,0.856388,0.867297,937.283,0,0,0,0,0,0,1488212.25,7.44106125,0
628.pop2_s-17B_12T,base,1.61865,1.53491,1.53454,1.53534,1.53467,1.55279,1.53451,1.53511,1.5347,1.59015,1.55198,1.53564,501.871,0,0,0,0,0,0,849591.541666667,4.24795770833333,0
649.fotonik3d_s-10881B_12T,base,0.326843,0.326229,0.32559,0.326545,0.326286,0.326271,0.326014,0.326441,0.326783,0.326507,0.326607,0.325477,464.188,0,0,0,0,0,0,5114728.04166667,25.5736402083333,0
654.roms_s-1007B_12T,base,0.784126,0.783058,0.783116,0.783173,0.783211,0.78325,0.783283,0.783332,0.783354,0.783394,0.783403,0.783762,394.784,0,0,0,0,0,0,1347492.75,6.73746375,0
